"Reference","Value","Footprint","Datasheet","Qty"
"R601, R602","5k10_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"R803, R805, R1301, R1505, R1506","0220_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","5"
"R804, R1405-R1408, R1501, R1502","2k20_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","7"
"R901","0000_0603_010","Footprint_Library:0603_1608Metric_Handsolder","~","1"
"R1603, R1605","0330_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"R1604, R1606","0100_0402_010","Footprint_Library:0402_1005Metric_Handsolder","~","2"
"SW501","SW_SPDT","Footprint_Library:A12AP","https://www.mouser.com/ProductDetail/NKK-Switches/A12AP?qs=GoBI4lfSlcOWDeCKdYFnhw%3D%3D","1"
"SW801, SW802, SW1501","SW_Push","Button_Switch_THT:SW_PUSH_6mm","https://www.mouser.com/ProductDetail/CUI-Devices/TS02-66-55-BK-100-LCR-D?qs=sGAEpiMZZMtFyPk3yBMYYEiKb8%2FddSTsAadq%252B8%252BhMMU%3D","3"
"SW1401","SW_Push","Footprint_Library:B3J1100","https://www.mouser.com/ProductDetail/Omron-Electronics/B3J-1100?qs=1tDaWCEHQQ5rrEN9cti99A%3D%3D","1"
"SW1402","SW_Push","Footprint_Library:JF15CP2","https://www.mouser.com/ProductDetail/NKK-Switches/JF15CP2A?qs=Ss9ZrulIkegLI4cgjsrt8w%3D%3D","1"
"SW1403","SW_Push","Footprint_Library:MHPS2283N","https://www.mouser.com/ProductDetail/Apem/MHPS2283N?qs=6hR9CYnVCPCqgwnKhGKh3w%3D%3D","1"
"SW1404","SW_Push","Footprint_Library:MX1AC1NN","https://www.mouser.com/ProductDetail/CHERRY/MX1A-C1NN?qs=Z9t1pRjfOcwvorA009Lo0w%3D%3D","1"
"SW1405, SW1406","PEC11R-4215F-N0024","Footprint_Library:PEC11R4215FN0024","https://www.mouser.com/ProductDetail/Bourns/PEC11R-4215F-N0024?qs=Zq5ylnUbLm5g22exZGkf6w%3D%3D","2"
"TP401","+3V3","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP402","+3V3_PROTECT","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP403","+3V3_DEBUG","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP404","I2C1_SCLK","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP405","I2C1_SDA","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP501","3V3","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP502","SYS_PWR","TestPoint:TestPoint_Pad_D2.5mm","","1"
"TP503","BAT_P","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP504","3V3_PG","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP505","BAT_MEASURE","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP506","2V5","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP601","USB_DN","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP602","USB_DP","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP701","I2S0_MCLK","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP702","I2S1_BCLK","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP703","I2S0_WCLK","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP704","I2S1_MISO","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP705","I2S0_BCLK","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP706","I2S0_MISO","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP707","I2S0_MOSI","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP708","I2C0_SCLK","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP709","I2C0_SDA","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP901","HP_L","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP902","PICKUP_RAW","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP903","PICKUP_FILTER","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP904","SP_P","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP1001","IMU_INT","TestPoint:TestPoint_Pad_D2.0mm","","1"
"TP1501","TACT_NINT","TestPoint:TestPoint_Pad_D1.0mm","","1"
"TP1601","TOUCH_INT","TestPoint:TestPoint_Pad_D2.0mm","","1"
"U401","KTD20XXEUAC-TR","Footprint_Library:UQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias","https://www.mouser.com/ProductDetail/Kinetic-Technologies/KTD2061EUAC-TR?qs=uwxL4vQweFP18kM%2FMMXPuw%3D%3D","1"
"U701","ESP32-S3FH4R2","Footprint_Library:QFN40P700X700X90-57N-D","https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-S3FH4R2?qs=tlsG%2FOw5FFjPrwkmZSBQNA%3D%3D","1"
"U901","DA7212-01UM2","Footprint_Library:DA721201UM2","https://www.mouser.com/ProductDetail/Renesas-Dialog/DA7212-01UM2?qs=%252BXi6w7ipgVE9at%2Fm55%2FzUA%3D%3D","1"
"U1001","ICM-20689","Footprint_Library:QFN50P400X400X95-25N-D","https://www.mouser.com/ProductDetail/TDK-InvenSense/ICM-20689?qs=u4fy%2FsgLU9NcfLrncAE%252BeQ%3D%3D","1"
"U1101","LTR-303ALS","Footprint_Library:LTR303ALS01","https://www.mouser.com/ProductDetail/Lite-On/LTR-303ALS-01?qs=Ml%2FaxAEbwm%252Bm%252BetMkBDC8g%3D%3D","1"
"U1501","KTS1622_EUAA","Footprint_Library:TQFN44-24_4x4mm_P0.5mm_EP2.7x2.7mm","https://www.mouser.com/ProductDetail/Kinetic-Technologies/KTS1622EUAA-TR?qs=Li%252BoUPsLEntEzhZXQXy6Rw%3D%3D","1"
"U1601","IQS525BLQNR","Footprint_Library:QFN-28_4x4mm_P0.5mm","https://www.mouser.com/ProductDetail/Azoteq/IQS525BLQNR?qs=PzGy0jfpSMsB9%252B8%252BXbQ24A%3D%3D","1"
"Y701","40MHz-0706-4P","Footprint_Library:XRCGB40M000F1S2FR0","https://www.mouser.com/ProductDetail/Murata-Electronics/XRCGB40M000F1S2FR0?qs=vmHwEFxEFR%2FB12INyBI7xQ%3D%3D","1"
